Name,A,B,CDHSi,G,D,CDHSs,CDHS,Cls
Kepler-558 b,0.9,0.1,2.2672,0.1,0.9,1.1259,2.2558,non-habitable
Kepler-560 b,0.9,0.1,1.6406,0.1,0.9,0.6877,1.6311,non-habitable
Kepler-566 b,0.9,0.1,2.0582,0.2,0.8,0.706,2.0447,non-habitable
Kepler-567 b,0.9,0.1,2.1562,0.1,0.9,1.2704,2.1473,non-habitable
Kepler-568 b,0.9,0.1,2.1663,0.1,0.9,0.9895,2.1545,non-habitable
Kepler-570 b,0.9,0.1,2.3579,0.1,0.9,2.0806,2.3551,non-habitable
Kepler-574 b,0.9,0.1,2.296,0.1,0.9,1.7901,2.2909,non-habitable
Kepler-575 b,0.7,0.3,2.1189,0.1,0.9,1.7418,2.1151,non-habitable
Kepler-578 b,0.9,0.1,1.9041,0.1,0.9,2.5242,1.9103,non-habitable
Kepler-579 b,0.9,0.1,1.9041,0.1,0.9,1.6543,1.9016,non-habitable
Kepler-583 b,0.9,0.1,2.1764,0.1,0.9,1.8346,2.173,non-habitable
Kepler-587 b,0.9,0.1,2.136,0.1,0.9,1.5738,2.1304,non-habitable
Kepler-589 b,0.9,0.1,2.1764,0.1,0.9,1.3218,2.1679,non-habitable
Kepler-592 b,0.9,0.1,2.296,0.1,0.9,2.6071,2.2991,non-habitable
Kepler-594 b,0.9,0.1,2.0784,0.1,0.9,1.4458,2.0721,non-habitable
Kepler-597 b,0.9,0.1,2.2672,0.1,0.9,1.578,2.2603,non-habitable
Kepler-598 b,0.9,0.1,1.4447,0.1,0.9,1.9231,1.4495,non-habitable
Kepler-601 b,0.9,0.1,1.8192,0.1,0.9,1.6916,1.8179,non-habitable
Kepler-602 b,0.9,0.1,1.9905,0.1,0.9,1.6487,1.9871,non-habitable
Kepler-603 d,0.8,0.2,1.2411,0.1,0.9,1.8446,1.2471,non-habitable
Kepler-605 b,0.9,0.1,1.3811,0.1,0.9,2.0173,1.3875,non-habitable
Kepler-605 c,0.9,0.1,0.857,0.2,0.8,1.0027,0.8585,non-habitable
Kepler-607 b,0.9,0.1,0.867,0.1,0.9,2.8634,0.887,non-habitable
Kepler-611 b,0.9,0.1,1.5844,0.1,0.9,2.4791,1.5933,non-habitable
