Name,A,B,CDHSi,G,D,CDHSs,CDHS,Cls
Kepler-707 b,0.8,0.1,1.2524,0.1,0.8,1.7645,1.2575,non-habitable
Kepler-710 b,0.8,0.1,1.6903,0.1,0.8,1.769,1.6911,non-habitable
Kepler-713 b,0.8,0.1,2.1795,0.1,0.8,1.7049,2.1748,non-habitable
Kepler-717 b,0.8,0.1,2.1295,0.1,0.8,1.7784,2.126,non-habitable
Kepler-732 b,0.8,0.1,1.9235,0.1,0.8,0.908,1.9133,non-habitable
Kepler-732 c,0.8,0.1,1.2045,0.1,0.8,1.4985,1.2074,non-habitable
Kepler-737 b,0.8,0.1,1.7532,0.1,0.8,0.7167,1.7428,non-habitable
Kepler-738 b,0.8,0.1,2.1974,0.1,0.8,1.1293,2.1867,non-habitable
Kepler-743 b,0.8,0.1,1.1563,0.1,0.8,1.7227,1.162,non-habitable
Kepler-744 b,0.8,0.1,1.4837,0.1,0.8,1.3412,1.4823,non-habitable
Kepler-745 b,0.8,0.1,1.915,0.1,0.8,1.5733,1.9116,non-habitable
Kepler-746 b,0.8,0.1,1.0757,0.1,0.8,1.7129,1.0821,non-habitable
Kepler-750 c,0.8,0.1,1.4837,0.1,0.8,2.0669,1.4895,non-habitable
Kepler-751 b,0.8,0.1,2.1558,0.1,0.8,1.2429,2.1467,non-habitable
Kepler-753 b,0.8,0.1,1.7061,0.1,0.8,1.247,1.7015,non-habitable
Kepler-754 b,0.8,0.1,1.786,0.1,0.8,1.4425,1.7826,non-habitable
Kepler-755 b,0.8,0.1,1.594,0.1,0.8,2.1116,1.5992,non-habitable
Kepler-755 c,0.8,0.1,1.1881,0.1,0.8,1.6337,1.1926,non-habitable
Kepler-756 b,0.8,0.1,1.0834,0.1,0.8,2.0968,1.0935,non-habitable
Kepler-757 b,0.8,0.1,1.2763,0.1,0.8,2.7682,1.2912,non-habitable
Kepler-758 b,0.8,0.1,2.1795,0.1,0.8,1.7877,2.1756,non-habitable
Kepler-758 c,0.8,0.1,1.539,0.1,0.8,2.1302,1.5449,non-habitable
Kepler-758 d,0.8,0.1,1.8825,0.1,0.8,1.5193,1.8789,non-habitable
Kepler-758 e,0.8,0.1,1.4034,0.1,0.8,1.8238,1.4076,non-habitable
Kepler-759 b,0.7,0.2,1.9225,0.1,0.8,1.1116,1.9144,non-habitable
Kepler-760 c,0.8,0.1,1.3711,0.1,0.8,1.8592,1.376,non-habitable
Kepler-761 b,0.8,0.1,1.8102,0.1,0.8,1.4731,1.8068,non-habitable
Kepler-763 b,0.8,0.1,1.164,0.1,0.8,2.1012,1.1734,non-habitable
Kepler-764 b,0.7,0.2,1.4384,0.1,0.8,1.4948,1.439,non-habitable
Kepler-765 b,0.8,0.1,2.1391,0.1,0.8,1.2612,2.1303,non-habitable
Kepler-768 b,0.8,0.1,1.6185,0.1,0.8,1.2288,1.6146,non-habitable
Kepler-769 c,0.8,0.1,1.6185,0.1,0.8,1.5005,1.6173,non-habitable
Kepler-770 b,0.8,0.1,2.029,0.1,0.8,1.2665,2.0214,non-habitable
Kepler-770 c,0.8,0.1,1.1487,0.1,0.7,1.8593,1.1558,non-habitable
Kepler-770 d,0.8,0.1,1.3076,0.1,0.8,1.7177,1.3117,non-habitable
Kepler-771 b,0.8,0.1,1.6343,0.1,0.8,1.5979,1.6339,non-habitable
Kepler-772 b,0.8,0.1,1.6343,0.1,0.8,1.4479,1.6324,non-habitable
Kepler-773 b,0.8,0.1,1.3326,0.1,0.8,1.8732,1.338,non-habitable
Kepler-775 b,0.8,0.1,1.1398,0.1,0.8,2.3252,1.1517,non-habitable
Kepler-776 b,0.8,0.1,1.2121,0.1,0.7,1.283,1.2128,non-habitable
Kepler-777 b,0.7,0.2,1.3147,0.1,0.8,1.0941,1.3125,non-habitable
Kepler-778 b,0.8,0.1,1.5303,0.1,0.8,1.6033,1.531,non-habitable
Kepler-779 b,0.1,0.1,0.9757,0.1,0.8,0.8719,0.9747,non-habitable
Kepler-780 b,0.1,0.1,0.9702,0.1,0.8,2.7429,0.9879,non-habitable
Kepler-783 b,0.1,0.1,0.9551,0.1,0.8,1.5461,0.961,non-habitable
Kepler-784 b,0.8,0.1,1.4517,0.1,0.8,1.1996,1.4492,non-habitable
Kepler-786 b,0.8,0.1,2.1391,0.1,0.8,0.844,2.1261,non-habitable
Kepler-787 b,0.8,0.1,1.2121,0.1,0.8,1.8155,1.2181,non-habitable
Kepler-789 b,0.8,0.1,1.8825,0.1,0.8,1.6226,1.8799,non-habitable
Kepler-790 b,0.7,0.2,1.8423,0.1,0.8,1.2381,1.8363,non-habitable
Kepler-792 b,0.8,0.1,1.7532,0.1,0.8,1.5548,1.7512,non-habitable
Kepler-793 b,0.8,0.1,1.2838,0.1,0.8,1.7626,1.2886,non-habitable
Kepler-794 b,0.8,0.1,1.874,0.1,0.8,1.6636,1.8719,non-habitable
Kepler-795 b,0.8,0.1,1.5303,0.1,0.8,1.0948,1.5259,non-habitable
Kepler-796 b,0.8,0.1,1.2285,0.1,0.8,1.5979,1.2322,non-habitable
Kepler-797 b,0.7,0.1,1.7801,0.1,0.8,1.1704,1.774,non-habitable
Kepler-798 b,0.8,0.1,2.1044,0.1,0.8,1.6519,2.0999,non-habitable
Kepler-801 b,0.8,0.1,1.7775,0.1,0.8,1.066,1.7704,non-habitable
Kepler-804 b,0.8,0.1,1.7375,0.1,0.8,1.4108,1.7342,non-habitable
Kepler-804 c,0.8,0.1,1.1001,0.1,0.8,1.4445,1.1035,non-habitable
Kepler-806 b,0.8,0.1,1.1001,0.1,0.8,1.5649,1.1047,non-habitable
Kepler-808 b,0.8,0.1,1.3563,0.1,0.7,1.9135,1.3619,non-habitable
Kepler-810 b,0.8,0.1,1.729,0.1,0.8,1.8688,1.7304,non-habitable
Kepler-813 b,0.8,0.1,1.8981,0.1,0.8,1.2741,1.8919,non-habitable
Kepler-814 b,0.8,0.1,1.8825,0.1,0.7,1.6786,1.8805,non-habitable
Kepler-821 b,0.8,0.1,1.2361,0.1,0.8,1.8828,1.2426,non-habitable
