Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-1076 b,0.1,0.9,0.818,49,0.1,0.9,1.3447,50,0.8233,non-habitable
Kepler-1078 b,0.7,0.3,1.6676,49,0.2,0.8,1.1966,50,1.6629,non-habitable
Kepler-1079 b,0.9,0.1,1.5571,49,0.2,0.8,0.9095,49,1.5506,non-habitable
Kepler-1081 b,0.9,0.1,0.995,49,0.1,0.9,1.7896,49,1.0029,non-habitable
Kepler-1082 b,0.9,0.1,1.0958,50,0.1,0.9,2.8981,49,1.1138,non-habitable
Kepler-1084 b,0.9,0.1,1.087,49,0.2,0.8,1.3579,53,1.0897,non-habitable
Kepler-1086 b,0.9,0.1,2.3478,49,0.1,0.9,1.0352,49,2.3347,non-habitable
Kepler-1087 b,0.1,0.9,0.7598,49,0.1,0.9,3.0035,50,0.7822,non-habitable
Kepler-1088 b,0.9,0.1,1.3711,52,0.3,0.7,0.3846,49,1.3612,non-habitable
Kepler-1089 b,0.9,0.1,1.7529,50,0.1,0.9,1.1391,49,1.7468,non-habitable
Kepler-1090 b,0.9,0.1,2.1562,51,0.1,0.9,0.6797,49,2.1414,mesoplanet
Kepler-1091 b,0.9,0.1,1.4086,49,0.1,0.9,2.909,49,1.4236,non-habitable
Kepler-1092 b,0.9,0.1,1.9819,49,0.1,0.9,1.0584,49,1.9727,non-habitable
Kepler-1093 b,0.9,0.1,1.8667,51,0.1,0.9,1.4647,49,1.8627,non-habitable
Kepler-1093 c,0.9,0.1,1.8753,51,0.2,0.8,0.5964,53,1.8625,non-habitable
Kepler-1095 b,0.9,0.1,1.1786,49,0.1,0.9,1.9277,49,1.1861,non-habitable
Kepler-1096 b,0.9,0.1,1.2061,49,0.1,0.9,1.5268,49,1.2093,non-habitable
Kepler-1098 b,0.9,0.1,1.2612,49,0.1,0.9,2.3671,49,1.2723,non-habitable
Kepler-1100 b,0.9,0.1,1.6766,49,0.1,0.9,2.2324,50,1.6822,non-habitable
Kepler-1101 b,0.9,0.1,2.3679,53,0.3,0.7,0.3508,51,2.3477,non-habitable
Kepler-1103 b,0.9,0.1,2.1764,52,0.1,0.9,1.5701,51,2.1703,non-habitable
Kepler-1104 b,0.9,0.1,1.1974,50,0.1,0.9,2.3619,49,1.209,non-habitable
Kepler-1105 b,0.9,0.1,1.9142,50,0.1,0.9,1.4865,49,1.9099,non-habitable
Kepler-1106 b,0.7,0.3,1.461,52,0.1,0.9,3.3332,49,1.4797,non-habitable
Kepler-1107 b,0.9,0.1,1.2974,51,0.1,0.9,3.185,51,1.3163,non-habitable
Kepler-1108 b,0.9,0.1,1.4086,51,0.1,0.9,1.8159,49,1.4127,non-habitable
Kepler-1109 b,0.9,0.1,2.0885,49,0.2,0.8,0.7138,49,2.0748,non-habitable
Kepler-1111 b,0.9,0.1,1.9041,50,0.1,0.9,1.9297,49,1.9044,non-habitable
Kepler-1114 b,0.9,0.1,1.2974,49,0.1,0.9,1.2628,50,1.2971,non-habitable
Kepler-1115 b,0.9,0.1,1.6305,50,0.1,0.9,2.1353,49,1.6355,non-habitable
Kepler-1117 b,0.9,0.1,1.087,49,0.1,0.9,1.8354,52,1.0945,non-habitable
Kepler-1119 b,0.9,0.1,1.8379,49,0.1,0.9,1.9609,49,1.8391,non-habitable
Kepler-1120 b,0.7,0.3,1.2491,52,0.2,0.8,0.9323,51,1.2459,non-habitable
Kepler-1121 b,0.8,0.2,1.7417,52,0.1,0.9,1.9589,49,1.7439,non-habitable
Kepler-1122 b,0.9,0.1,1.9516,50,0.1,0.9,1.0621,49,1.9427,non-habitable
Kepler-1123 b,0.9,0.1,1.6032,49,0.1,0.9,1.944,51,1.6066,non-habitable
Kepler-1124 b,0.9,0.1,1.2424,50,0.1,0.9,1.1262,49,1.2412,non-habitable
