Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-1423 b,0.8,0.1,1.0356,49,0.1,0.7,0.8586,50,1.0338,non-habitable
Kepler-1424 b,0.8,0.1,1.1078,49,0.1,0.8,1.0968,50,1.1077,non-habitable
Kepler-1425 b,0.2,0.1,0.9718,49,0.1,0.8,1.2123,49,0.9742,non-habitable
Kepler-1426 b,0.8,0.1,1.4356,49,0.1,0.8,1.3516,50,1.4348,non-habitable
Kepler-1427 b,0.8,0.1,1.0679,49,0.1,0.7,2.1233,51,1.0785,non-habitable
Kepler-1428 b,0.7,0.2,1.4384,52,0.1,0.7,1.4633,52,1.4386,non-habitable
Kepler-1429 b,0.6,0.1,1.1603,49,0.1,0.7,1.5725,49,1.1644,non-habitable
Kepler-1430 b,0.8,0.1,1.1321,49,0.1,0.8,1.5899,50,1.1367,non-habitable
Kepler-1431 b,0.8,0.1,1.3637,50,0.1,0.8,1.6792,49,1.3669,non-habitable
Kepler-1432 b,0.8,0.1,1.9644,49,0.1,0.8,1.3305,49,1.9581,non-habitable
Kepler-1433 b,0.6,0.2,1.3211,49,0.1,0.8,2.0087,49,1.328,non-habitable
Kepler-1434 b,0.7,0.1,1.0645,49,0.1,0.8,1.9744,50,1.0736,non-habitable
Kepler-1435 b,0.2,0.1,0.9524,49,0.1,0.8,1.9483,49,0.9624,non-habitable
Kepler-1436 b,0.8,0.1,1.2361,49,0.1,0.8,1.5123,50,1.2389,non-habitable
Kepler-1437 b,0.8,0.1,1.2838,50,0.1,0.6,1.0764,52,1.2817,non-habitable
Kepler-1438 b,0.2,0.1,0.9718,50,0.1,0.8,1.9021,50,0.9811,non-habitable
Kepler-1439 b,0.8,0.1,1.3563,49,0.1,0.8,0.8558,50,1.3513,non-habitable
Kepler-1440 b,0.8,0.1,1.1881,50,0.1,0.8,0.9763,51,1.186,non-habitable
Kepler-1441 b,0.7,0.1,1.2031,53,0.1,0.8,1.0115,49,1.2012,non-habitable
Kepler-1443 b,0.1,0.1,0.982,49,0.1,0.8,2.2685,51,0.9949,non-habitable
Kepler-1444 b,0.7,0.2,1.8423,49,0.1,0.8,1.1624,49,1.8355,non-habitable
Kepler-1445 b,0.1,0.1,0.981,49,0.1,0.7,1.3436,51,0.9846,non-habitable
Kepler-1446 b,0.1,0.1,0.9611,49,0.1,0.8,2.1568,51,0.9731,non-habitable
Kepler-1448 b,0.7,0.2,1.4173,50,0.1,0.8,1.3649,49,1.4168,non-habitable
Kepler-1449 b,0.8,0.1,1.5303,49,0.1,0.8,1.451,50,1.5295,non-habitable
Kepler-1450 b,0.8,0.1,1.5549,49,0.1,0.8,0.7369,50,1.5467,non-habitable
Kepler-1454 b,0.8,0.1,1.6903,50,0.1,0.7,0.8895,50,1.6823,non-habitable
Kepler-1455 b,0.8,0.1,1.915,49,0.1,0.8,0.7133,52,1.903,non-habitable
Kepler-1456 b,0.8,0.1,1.1001,49,0.1,0.7,0.801,51,1.0971,non-habitable
Kepler-1457 b,0.8,0.1,1.7775,50,0.1,0.8,1.0257,53,1.77,non-habitable
Kepler-1459 b,0.7,0.2,1.2352,51,0.1,0.8,0.7309,49,1.2302,non-habitable
Kepler-1460 b,0.8,0.1,1.7532,50,0.1,0.8,0.8535,52,1.7442,non-habitable
Kepler-1461 b,0.8,0.1,1.8102,49,0.1,0.8,0.9525,49,1.8016,non-habitable
Kepler-1463 b,0.8,0.1,1.6731,50,0.1,0.8,1.1591,49,1.668,non-habitable
Kepler-1464 b,0.8,0.1,1.5143,51,0.1,0.2,0.6999,49,1.5062,non-habitable
Kepler-1464 c,0.1,0.1,0.9862,49,0.1,0.8,1.6299,49,0.9926,non-habitable
Kepler-1465 b,0.8,0.1,1.6026,50,0.1,0.8,0.8774,53,1.5953,non-habitable
Kepler-1466 b,0.7,0.2,1.3724,50,0.1,0.8,1.118,50,1.3699,non-habitable
Kepler-1468 b,0.8,0.1,1.5622,49,0.1,0.7,1.4201,50,1.5608,non-habitable
Kepler-1468 c,0.8,0.1,1.1078,53,0.1,0.8,1.8843,49,1.1156,non-habitable
Kepler-1470 b,0.8,0.1,1.0356,49,0.1,0.7,0.9398,50,1.0346,non-habitable
Kepler-1471 b,0.8,0.1,1.3164,50,0.1,0.7,1.5642,49,1.3189,non-habitable
Kepler-1472 b,0.8,0.1,1.7061,49,0.1,0.8,1.2065,49,1.7011,non-habitable
Kepler-1473 b,0.8,0.1,1.1398,53,0.1,0.8,1.3557,49,1.142,non-habitable
Kepler-1474 b,0.8,0.1,1.915,49,0.1,0.8,1.1401,49,1.9073,non-habitable
Kepler-1476 b,0.7,0.1,1.4469,50,0.1,0.8,1.423,50,1.4467,non-habitable
Kepler-1477 b,0.8,0.1,1.1321,52,0.1,0.8,1.1502,50,1.1323,non-habitable
Kepler-1478 b,0.7,0.2,1.4979,49,0.1,0.8,1.2051,49,1.495,non-habitable
Kepler-1479 b,0.7,0.2,1.5806,50,0.1,0.6,1.1103,49,1.5759,non-habitable
Kepler-1480 b,0.7,0.2,1.4621,49,0.1,0.6,0.9111,51,1.4566,non-habitable
Kepler-1481 b,0.8,0.1,1.1728,51,0.1,0.8,1.3129,49,1.1742,non-habitable
