Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-277 b,0.1,0.9,3.4901,49,0.1,0.9,2.0964,51,3.4762,non-habitable
Kepler-277 c,0.9,0.1,3.1496,49,0.4,0.6,0.3557,50,3.1217,non-habitable
Kepler-279 c,0.9,0.1,3.5833,49,0.1,0.9,1.4815,50,3.5623,non-habitable
Kepler-279 d,0.9,0.1,2.859,50,0.3,0.7,0.4714,49,2.8351,non-habitable
Kepler-280 b,0.9,0.1,1.3898,49,0.1,0.9,2.4046,49,1.3999,non-habitable
Kepler-280 c,0.9,0.1,1.9142,51,0.1,0.9,1.9828,53,1.9149,non-habitable
Kepler-282 b,0.9,0.1,0.995,53,0.1,0.9,1.6391,49,1.0014,non-habitable
Kepler-282 c,0.9,0.1,1.1698,49,0.1,0.9,1.5009,53,1.1731,non-habitable
Kepler-282 d,0.1,0.9,4.1005,49,0.1,0.9,1.4623,51,4.0741,non-habitable
Kepler-282 e,0.5,0.5,2.5148,51,0.1,0.9,1.2239,49,2.5019,non-habitable
Kepler-283 b,0.8,0.2,1.9529,51,0.1,0.9,1.1176,50,1.9445,non-habitable
Kepler-283 c,0.8,0.2,1.6616,49,0.2,0.8,0.3722,51,1.6487,mesoplanet
Kepler-284 b,0.8,0.2,2.0562,50,0.1,0.9,1.4638,49,2.0503,non-habitable
Kepler-285 b,0.9,0.1,1.2974,49,0.1,0.9,2.0613,49,1.305,non-habitable
Kepler-285 c,0.9,0.1,1.0958,49,0.1,0.9,1.5656,51,1.1005,non-habitable
Kepler-286 b,0.8,0.2,1.1732,49,0.3,0.7,0.593,49,1.1674,non-habitable
Kepler-286 c,0.9,0.1,1.3249,50,0.1,0.9,2.0356,49,1.332,non-habitable
Kepler-286 d,0.8,0.2,1.2486,49,0.1,0.9,1.7255,49,1.2534,non-habitable
Kepler-286 e,0.8,0.2,1.6266,50,0.1,0.9,1.1478,50,1.6218,non-habitable
Kepler-287 b,0.9,0.1,2.2355,52,0.1,0.9,1.4593,50,2.2277,non-habitable
