Name,Cls,r,d,t,v,e,Rho,Eta,CEESA,Iter
K2-83 c,non-habitable,0.1975,0.1326,0.205,0.3299,0.1351,0.9197,1,1.2328,81
K2-84 b,non-habitable,0.0535,0.0675,0.3862,0.4844,0.0085,0.461,1,2.9883,84
K2-84 c,non-habitable,0.0841,0.1473,0.4103,0.3155,0.0428,0.9544,1,1.9692,91
K2-85 b,non-habitable,0.0902,0.2797,0.337,0.1451,0.148,0.8795,1,1.8076,87
K2-86 b,non-habitable,0.2398,0.3512,0.3536,0.0541,0.0013,0.2294,1,1.9278,93
K2-88 b,non-habitable,0.2399,0.1264,0.4093,0.1844,0.0399,0.7421,1,1.2695,89
K2-89 b,non-habitable,0.1926,0.0232,0.309,0.371,0.1042,0.9457,1,1.1546,94
K2-90 b,non-habitable,0.4176,0.2625,0.0586,0.2496,0.0116,0.1996,1,1.755,81
K2-90 c,non-habitable,0.4284,0.0929,0.2922,0.1763,0.0102,0.3036,1,1.2984,90
K2-91 b,non-habitable,0.26,0.019,0.3206,0.3438,0.0566,0.8621,1,1.4039,84
K2-95 b,non-habitable,0.039,0.3756,0.0411,0.3176,0.2268,0.9381,1,10.0783,95
K2-105 b,non-habitable,0.2778,0.0779,0.1871,0.3628,0.0944,0.7831,1,2.5601,92
Kapteyn b,psychroplanet,0.0565,0.4061,0.0483,0.1522,0.337,0.8125,1,4.5029,93
Kapteyn c,non-habitable,0.1584,0.3007,0.0014,0.0301,0.5094,0.8278,1,7.0873,102
Kepler-4 b,non-habitable,0.1617,0.0643,0.288,0.4568,0.0292,0.4668,1,3.0603,89
Kepler-9 d,non-habitable,0.2908,0.2108,0.3143,0.1251,0.0591,0.9883,1,2.7039,98
Kepler-10 b,non-habitable,0.0429,0.1385,0.344,0.1927,0.282,0.8215,1,3.7847,88
Kepler-10 c,non-habitable,0.0204,0.119,0.0181,0.3581,0.4844,0.6344,1,2.7057,86
Kepler-11 b,non-habitable,0.0904,0.2278,0.2939,0.2976,0.0904,0.8811,1,1.4023,88
Kepler-18 b,non-habitable,0.3474,0.2292,0.4098,0.0037,0.0099,0.3684,1,2.3418,84
Kepler-19 b,non-habitable,0.1822,0.0529,0.6021,0.0912,0.0716,0.5794,1,2.2992,88
Kepler-20 b,non-habitable,0.136,0.0238,0.5419,0.2191,0.0792,0.9902,1,3.0605,83
Kepler-20 c,non-habitable,0.1922,0.2414,0.0016,0.1256,0.4392,0.5583,1,4.2329,90
Kepler-20 e,non-habitable,0.2104,0.0145,0.6434,0.0263,0.1054,0.6525,1,2.1236,84
Kepler-20 f,non-habitable,0.1809,0.0996,0.4355,0.1614,0.1226,0.6058,1,1.253,92
Kepler-21 b,non-habitable,0.1767,0.2469,0.2808,0.093,0.2027,0.9705,1,2.7111,96
Kepler-22 b,mesoplanet,0.3241,0.3097,0.0326,0.1751,0.1585,0.9317,1,1.7709,85
Kepler-23 b,non-habitable,0.0284,0.0249,0.3599,0.2716,0.3152,0.5786,1,3.0742,73
Kepler-23 d,non-habitable,0.1638,0.0488,0.2857,0.2621,0.2395,0.9967,1,3.2322,80
Kepler-24 b,non-habitable,0.0527,0.3147,0.3795,0.2117,0.0413,0.9969,1,2.5366,84
Kepler-26 e,non-habitable,0.2426,0.2018,0.2585,0.2843,0.0128,0.5084,1,2.0364,90
Kepler-33 b,non-habitable,0.1187,0.0673,0.1676,0.6391,0.0072,0.5138,1,2.2248,90
Kepler-36 b,non-habitable,0.311,0.1452,0.3914,0.1126,0.0398,0.7623,1,2.1777,86
Kepler-37 b,non-habitable,0.0042,0.4142,0.2974,0.0219,0.2623,0.5635,1,0.7321,88
Kepler-37 c,non-habitable,0.0787,0.1254,0.5102,0.1996,0.0861,0.9877,1,1.3452,86
Kepler-37 d,non-habitable,0.1011,0.3142,0.1449,0.4257,0.014,0.5533,1,1.726,82
Kepler-38(AB) b,non-habitable,0.3823,0.0579,0.2591,0.2743,0.0263,0.7632,1,3.5812,91
Kepler-42 b,non-habitable,0.0342,0.0151,0.4953,0.3203,0.1351,0.9067,1,1.1786,82
Kepler-42 c,non-habitable,0.2154,0.093,0.3627,0.1834,0.1455,0.9263,1,1.2589,87
Kepler-42 d,non-habitable,0.0236,0.1969,0.7264,0.0508,0.0024,0.644,1,1.3556,86
Kepler-48 b,non-habitable,0.1216,0.0128,0.4421,0.2948,0.1287,0.671,1,2.1825,95
Kepler-48 c,non-habitable,0.2576,0.2677,0.1794,0.1551,0.1402,0.7513,1,1.6081,89
Kepler-48 d,non-habitable,0.3646,0.0338,0.1848,0.3515,0.0653,0.37,1,1.582,93
Kepler-49 d,non-habitable,0.0596,0.1468,0.3819,0.386,0.0256,0.5254,1,1.8238,85
Kepler-49 e,non-habitable,0.3404,0.2441,0.0271,0.3869,0.0015,0.3285,1,1.4305,91
Kepler-50 b,non-habitable,0.1809,0.4276,0.2484,0.1375,0.0055,0.1379,1,3.0293,104
Kepler-50 c,non-habitable,0.0894,0.2063,0.2589,0.4231,0.0224,0.4059,1,2.9419,98
Kepler-52 b,non-habitable,0.1132,0.2658,0.128,0.4582,0.0347,0.8901,1,1.9888,85
Kepler-52 c,non-habitable,0.2454,0.0857,0.249,0.3866,0.0333,0.2563,1,1.5077,93
Kepler-52 d,non-habitable,0.3141,0.2098,0.0332,0.3712,0.0716,0.6951,1,1.6595,90
