Name,Cls,A,B,CDHSi,G,D,CDHSs,CDHS,Inn,Sur
Kepler-381 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,52,57
Kepler-381 c,non-habitable,0.0555,0.9445,1.12,0.5189,0.4811,1.06,1.1194,53,23
Kepler-382 b,non-habitable,0.9542,0.0458,1.32,0.2675,0.7325,1.3,1.3198,52,52
Kepler-382 c,non-habitable,0.2839,0.7161,1.59,0.1759,0.8241,1.65,1.5906,64,60
Kepler-383 b,non-habitable,0.4268,0.5732,1.32,0.5274,0.4726,1.3,1.3198,55,52
Kepler-383 c,non-habitable,0.2985,0.7015,1.24,0.6192,0.3808,1.21,1.2397,50,51
Kepler-384 b,non-habitable,0.0829,0.9171,1.12,0.0312,0.9688,1.06,1.1194,48,40
Kepler-384 c,non-habitable,0.6195,0.3805,1.13,0.0244,0.9756,1.08,1.1295,54,51
Kepler-386 b,non-habitable,0.0676,0.9324,1.39,0.1273,0.8727,1.38,1.3899,52,52
Kepler-386 c,non-habitable,0.1656,0.8344,1.58,0.7712,0.2288,1.63,1.5805,46,43
